SymbolName	Axes.M2K4 rY.ActPos	SymbolName	Axes.M2K4 rY.SetPos	SymbolName	Axes.M2K4 rY.PosDiff	SymbolName	Axes.M3K4 rX.ActPos	SymbolName	Axes.M3K4 rX.SetPos	SymbolName	Axes.M3K4 rX.PosDiff
NetID	134.79.82.176.1.1	NetID	134.79.82.176.1.1	NetID	134.79.82.176.1.1	NetID	134.79.82.176.1.1	NetID	134.79.82.176.1.1	NetID	134.79.82.176.1.1
Port	501	Port	501	Port	501	Port	501	Port	501	Port	501
Offset	0	Offset	0	Offset	0	Offset	0	Offset	0	Offset	0
ScaleFactor	1	ScaleFactor	1	ScaleFactor	1	ScaleFactor	1	ScaleFactor	1	ScaleFactor	1
BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff
Unit	(None)	Unit	(None)	Unit	(None)	Unit	(None)	Unit	(None)	Unit	(None)
Unit ScaleFactor	1	Unit ScaleFactor	1	Unit ScaleFactor	1	Unit ScaleFactor	1	Unit ScaleFactor	1	Unit ScaleFactor	1
Unit Offset	0	Unit Offset	0	Unit Offset	0	Unit Offset	0	Unit Offset	0	Unit Offset	0


250	14396,582708000031	250	14396,620144000015	250	0	250	-11786,276372000008	250	-11786,229986000006	250	0
252	14396,652232000022	252	14396,620144000015	252	0	252	-11786,253179000007	252	-11786,229986000006	252	0
254	14396,566664000013	254	14396,620144000015	254	0	254	-11786,276372000008	254	-11786,229986000006	254	0
256	14396,529228000029	256	14396,620144000015	256	0	256	-11786,284103000013	256	-11786,229986000006	256	0
258	14396,523880000023	258	14396,620144000015	258	0	258	-11786,253179000007	258	-11786,229986000006	258	0
260	14396,59875200002	260	14396,620144000015	260	0	260	-11786,255756000013	260	-11786,229986000006	260	0
262	14396,55596800003	262	14396,620144000015	262	0	262	-11786,235140000004	262	-11786,229986000006	262	0
264	14396,625492000021	264	14396,620144000015	264	0	264	-11786,240294000003	264	-11786,229986000006	264	0
266	14396,534576000006	266	14396,620144000015	266	0	266	-11786,24287100001	266	-11786,229986000006	266	0
268	14396,614796000009	268	14396,620144000015	268	0	268	-11786,235140000004	268	-11786,229986000006	268	0
270	14396,545272000018	270	14396,620144000015	270	0	270	-11786,258333000005	270	-11786,229986000006	270	0
272	14396,588056000008	272	14396,620144000015	272	0	272	-11786,263487000004	272	-11786,229986000006	272	0
274	14396,620144000015	274	14396,620144000015	274	0	274	-11786,229986000006	274	-11786,229986000006	274	0
276	14396,588056000008	276	14396,620144000015	276	0	276	-11786,258333000005	276	-11786,229986000006	276	0
278	14396,657580000028	278	14396,620144000015	278	0	278	-11786,253179000007	278	-11786,229986000006	278	0
280	14396,59875200002	280	14396,620144000015	280	0	280	-11786,211947000003	280	-11786,229986000006	280	0
282	14396,625492000021	282	14396,620144000015	282	0	282	-11786,240294000003	282	-11786,229986000006	282	0
284	14396,491792000015	284	14396,620144000015	284	0	284	-11786,237717000011	284	-11786,229986000006	284	0
286	14396,566664000013	286	14396,620144000015	286	0	286	-11786,255756000013	286	-11786,229986000006	286	0
288	14396,604100000026	288	14396,620144000015	288	0	288	-11786,222255	288	-11786,229986000006	288	0
290	14396,550620000024	290	14396,620144000015	290	0	290	-11786,229986000006	290	-11786,229986000006	290	0
292	14396,625492000021	292	14396,620144000015	292	0	292	-11786,229986000006	292	-11786,229986000006	292	0
294	14396,593404000014	294	14396,620144000015	294	0	294	-11786,263487000004	294	-11786,229986000006	294	0
296	14396,518532000016	296	14396,620144000015	296	0	296	-11786,229986000006	296	-11786,229986000006	296	0
298	14396,582708000031	298	14396,620144000015	298	0	298	-11786,245448000002	298	-11786,229986000006	298	0
300	14396,577360000025	300	14396,620144000015	300	0	300	-11786,278949	300	-11786,229986000006	300	0
302	14396,51318400001	302	14396,620144000015	302	0	302	-11786,237717000011	302	-11786,229986000006	302	0
304	14396,630840000027	304	14396,620144000015	304	0	304	-11786,273795000001	304	-11786,229986000006	304	0
