Name	ActPos(2)	Name	SetPos(2)	Name	PosDiff(2)	Name	ActPos(5)	Name	SetPos(5)	Name	PosDiff(5)
SymbolComment		SymbolComment		SymbolComment		SymbolComment		SymbolComment		SymbolComment	
Data-Type	REAL64	Data-Type	REAL64	Data-Type	REAL64	Data-Type	REAL64	Data-Type	REAL64	Data-Type	REAL64
SampleTime	2	SampleTime	2	SampleTime	2	SampleTime	2	SampleTime	2	SampleTime	2
VariableSize	8	VariableSize	8	VariableSize	8	VariableSize	8	VariableSize	8	VariableSize	8
SymbolBased	True	SymbolBased	True	SymbolBased	True	SymbolBased	True	SymbolBased	True	SymbolBased	True
IndexGroup	16643	IndexGroup	16643	IndexGroup	16643	IndexGroup	16646	IndexGroup	16646	IndexGroup	16646
IndexOffset	65538	IndexOffset	10	IndexOffset	131087	IndexOffset	65538	IndexOffset	10	IndexOffset	131087
SymbolName	Axes.M2K4 rY.ActPos	SymbolName	Axes.M2K4 rY.SetPos	SymbolName	Axes.M2K4 rY.PosDiff	SymbolName	Axes.M3K4 rX.ActPos	SymbolName	Axes.M3K4 rX.SetPos	SymbolName	Axes.M3K4 rX.PosDiff
NetID	134.79.82.176.1.1	NetID	134.79.82.176.1.1	NetID	134.79.82.176.1.1	NetID	134.79.82.176.1.1	NetID	134.79.82.176.1.1	NetID	134.79.82.176.1.1
Port	501	Port	501	Port	501	Port	501	Port	501	Port	501
Offset	0	Offset	0	Offset	0	Offset	0	Offset	0	Offset	0
ScaleFactor	1	ScaleFactor	1	ScaleFactor	1	ScaleFactor	1	ScaleFactor	1	ScaleFactor	1
BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff
Unit	(None)	Unit	(None)	Unit	(None)	Unit	(None)	Unit	(None)	Unit	(None)
Unit ScaleFactor	1	Unit ScaleFactor	1	Unit ScaleFactor	1	Unit ScaleFactor	1	Unit ScaleFactor	1	Unit ScaleFactor	1
Unit Offset	0	Unit Offset	0	Unit Offset	0	Unit Offset	0	Unit Offset	0	Unit Offset	0


110	14396,678972000023	110	14396,625492000021	110	-0,05348000000230968	110	-11786,222255	110	-11786,21452400001	110	0,00773099999059923
112	14396,636188000004	112	14396,625492000021	112	-0,010695999982999638	112	-11786,217101000002	112	-11786,21452400001	112	0,0025769999920157716
114	14396,561316000007	114	14396,625492000021	114	0,064176000014413148	114	-11786,222255	114	-11786,21452400001	114	0,00773099999059923
116	14396,646884000016	116	14396,625492000021	116	-0,021391999995103106	116	-11786,250602	116	-11786,21452400001	116	0,036077999990084209
118	14396,588056000008	118	14396,625492000021	118	0,037436000013258308	118	-11786,229986000006	118	-11786,21452400001	118	0,015461999995750375
120	14396,657580000028	120	14396,625492000021	120	-0,032088000007206574	120	-11786,229986000006	120	-11786,21452400001	120	0,015461999995750375
122	14396,705712000025	122	14396,625492000021	122	-0,08022000000346452	122	-11786,181023000012	122	-11786,21452400001	122	-0,033500999998068437
124	14396,582708000031	124	14396,625492000021	124	0,042783999990206212	124	-11786,240294000003	124	-11786,21452400001	124	0,025769999992917292
126	14396,593404000014	126	14396,625492000021	126	0,032088000007206574	126	-11786,211947000003	126	-11786,21452400001	126	-0,0025770000065676868
128	14396,59875200002	128	14396,625492000021	128	0,02674000000115484	128	-11786,186177000011	128	-11786,21452400001	128	-0,028346999999484979
130	14396,764540000033	130	14396,625492000021	130	-0,13904800001182593	130	-11786,21452400001	130	-11786,21452400001	130	0
132	14396,625492000021	132	14396,625492000021	132	0	132	-11786,224832000007	132	-11786,21452400001	132	0,010307999997166917
134	14396,561316000007	134	14396,625492000021	134	0,064176000014413148	134	-11786,222255	134	-11786,21452400001	134	0,00773099999059923
136	14396,646884000016	136	14396,625492000021	136	-0,021391999995103106	136	-11786,199062	136	-11786,21452400001	136	-0,01546200001030229
138	14396,604100000026	138	14396,625492000021	138	0,021391999995103106	138	-11786,201639000006	138	-11786,21452400001	138	-0,012885000003734604
140	14396,582708000031	140	14396,625492000021	140	0,042783999990206212	140	-11786,178446000005	140	-11786,21452400001	140	-0,036078000004636124
142	14396,646884000016	142	14396,625492000021	142	-0,021391999995103106	142	-11786,245448000002	142	-11786,21452400001	142	0,03092399999150075
144	14396,572012000019	144	14396,625492000021	144	0,05348000000230968	144	-11786,191331000009	144	-11786,21452400001	144	-0,02319300000090152
146	14396,609448000032	146	14396,625492000021	146	0,016043999989051372	146	-11786,222255	146	-11786,21452400001	146	0,00773099999059923
148	14396,668276000011	148	14396,625492000021	148	-0,042783999990206212	148	-11786,209370000011	148	-11786,21452400001	148	-0,0051539999985834584
150	14396,572012000019	150	14396,625492000021	150	0,05348000000230968	150	-11786,224832000007	150	-11786,21452400001	150	0,010307999997166917
152	14396,646884000016	152	14396,625492000021	152	-0,021391999995103106	152	-11786,219678000009	152	-11786,21452400001	152	0,0051539999985834584
154	14396,630840000027	154	14396,625492000021	154	-0,0053480000060517341	154	-11786,222255	154	-11786,21452400001	154	0,00773099999059923
156	14396,636188000004	156	14396,625492000021	156	-0,010695999982999638	156	-11786,21452400001	156	-11786,21452400001	156	0
158	14396,657580000028	158	14396,625492000021	158	-0,032088000007206574	158	-11786,232563000012	158	-11786,21452400001	158	0,018039000002318062
160	14396,64153600001	160	14396,625492000021	160	-0,016043999989051372	160	-11786,186177000011	160	-11786,21452400001	160	-0,028346999999484979
162	14396,678972000023	162	14396,625492000021	162	-0,05348000000230968	162	-11786,165561000002	162	-11786,21452400001	162	-0,048963000008370727
164	14396,695016000012	164	14396,625492000021	164	-0,069523999991361052	164	-11786,219678000009	164	-11786,21452400001	164	0,0051539999985834584
166	14396,614796000009	166	14396,625492000021	166	0,010696000012103468	166	-11786,204216000013	166	-11786,21452400001	166	-0,010307999997166917
168	14396,609448000032	168	14396,625492000021	168	0,016043999989051372	168	-11786,219678000009	168	-11786,21452400001	168	0,0051539999985834584
170	14396,625492000021	170	14396,625492000021	170	0	170	-11786,21452400001	170	-11786,21452400001	170	0
172	14396,625492000021	172	14396,625492000021	172	0	172	-11786,222255	172	-11786,21452400001	172	0,00773099999059923
174	14396,550620000024	174	14396,625492000021	174	0,074871999997412786	174	-11786,235140000004	174	-11786,21452400001	174	0,020615999994333833
176	14396,689668000006	176	14396,625492000021	176	-0,064175999985309318	176	-11786,211947000003	176	-11786,21452400001	176	-0,0025770000065676868
178	14396,662928000005	178	14396,625492000021	178	-0,037435999984154478	178	-11786,199062	178	-11786,21452400001	178	-0,01546200001030229
180	14396,64153600001	180	14396,625492000021	180	-0,016043999989051372	180	-11786,21452400001	180	-11786,21452400001	180	0
182	14396,652232000022	182	14396,625492000021	182	-0,02674000000115484	182	-11786,222255	182	-11786,21452400001	182	0,00773099999059923
184	14396,609448000032	184	14396,625492000021	184	0,016043999989051372	184	-11786,206793000005	184	-11786,21452400001	184	-0,0077310000051511452
186	14396,695016000012	186	14396,625492000021	186	-0,069523999991361052	186	-11786,209370000011	186	-11786,21452400001	186	-0,0051539999985834584
188	14396,689668000006	188	14396,625492000021	188	-0,064175999985309318	188	-11786,211947000003	188	-11786,21452400001	188	-0,0025770000065676868
190	14396,625492000021	190	14396,625492000021	190	0	190	-11786,211947000003	190	-11786,21452400001	190	-0,0025770000065676868
192	14396,620144000015	192	14396,625492000021	192	0,0053480000060517341	192	-11786,21452400001	192	-11786,21452400001	192	0
194	14396,572012000019	194	14396,625492000021	194	0,05348000000230968	194	-11786,204216000013	194	-11786,21452400001	194	-0,010307999997166917
196	14396,604100000026	196	14396,625492000021	196	0,021391999995103106	196	-11786,209370000011	196	-11786,21452400001	196	-0,0051539999985834584
198	14396,662928000005	198	14396,625492000021	198	-0,037435999984154478	198	-11786,211947000003	198	-11786,21452400001	198	-0,0025770000065676868
200	14396,646884000016	200	14396,625492000021	200	-0,021391999995103106	200	-11786,222255	200	-11786,21452400001	200	0,00773099999059923
202	14396,662928000005	202	14396,625492000021	202	-0,037435999984154478	202	-11786,204216000013	202	-11786,21452400001	202	-0,010307999997166917
204	14396,588056000008	204	14396,625492000021	204	0,037436000013258308	204	-11786,193908000001	204	-11786,21452400001	204	-0,020616000008885749
206	14396,630840000027	206	14396,625492000021	206	-0,0053480000060517341	206	-11786,21452400001	206	-11786,21452400001	206	0
208	14396,550620000024	208	14396,625492000021	208	0,074871999997412786	208	-11786,24287100001	208	-11786,21452400001	208	0,028346999999484979
210	14396,689668000006	210	14396,625492000021	210	-0,064175999985309318	210	-11786,229986000006	210	-11786,21452400001	210	0,015461999995750375
212	14396,566664000013	212	14396,625492000021	212	0,058828000008361414	212	-11786,235140000004	212	-11786,21452400001	212	0,020615999994333833
214	14396,566664000013	214	14396,625492000021	214	0,058828000008361414	214	-11786,204216000013	214	-11786,21452400001	214	-0,010307999997166917
216	14396,550620000024	216	14396,625492000021	216	0,074871999997412786	216	-11786,240294000003	216	-11786,21452400001	216	0,025769999992917292
218	14396,636188000004	218	14396,625492000021	218	-0,010695999982999638	218	-11786,211947000003	218	-11786,21452400001	218	-0,0025770000065676868
220	14396,64153600001	220	14396,625492000021	220	-0,016043999989051372	220	-11786,186177000011	220	-11786,21452400001	220	-0,028346999999484979
222	14396,625492000021	222	14396,625492000021	222	0	222	-11786,188754000003	222	-11786,21452400001	222	-0,025770000007469207
224	14396,64153600001	224	14396,625492000021	224	-0,016043999989051372	224	-11786,206793000005	224	-11786,21452400001	224	-0,0077310000051511452
226	14396,705712000025	226	14396,625492000021	226	-0,08022000000346452	226	-11786,196485000008	226	-11786,21452400001	226	-0,018039000002318062
228	14396,523880000023	228	14396,625492000021	228	0,10161199999856763	228	-11786,21452400001	228	-11786,21452400001	228	0
230	14396,625492000021	230	14396,625492000021	230	0	230	-11786,206793000005	230	-11786,21452400001	230	-0,0077310000051511452
232	14396,609448000032	232	14396,625492000021	232	0,016043999989051372	232	-11786,211947000003	232	-11786,21452400001	232	-0,0025770000065676868
234	14396,55596800003	234	14396,625492000021	234	0,069523999991361052	234	-11786,21452400001	234	-11786,21452400001	234	0
236	14396,609448000032	236	14396,625492000021	236	0,016043999989051372	236	-11786,188754000003	236	-11786,21452400001	236	-0,025770000007469207
238	14396,652232000022	238	14396,625492000021	238	-0,02674000000115484	238	-11786,21452400001	238	-11786,21452400001	238	0
240	14396,64153600001	240	14396,625492000021	240	-0,016043999989051372	240	-11786,229986000006	240	-11786,21452400001	240	0,015461999995750375
242	14396,64153600001	242	14396,625492000021	242	-0,016043999989051372	242	-11786,250602	242	-11786,21452400001	242	0,036077999990084209
244	14396,577360000025	244	14396,625492000021	244	0,048131999996257946	244	-11786,191331000009	244	-11786,21452400001	244	-0,02319300000090152
246	14396,572012000019	246	14396,625492000021	246	0,05348000000230968	246	-11786,206793000005	246	-11786,21452400001	246	-0,0077310000051511452
248	14396,59875200002	248	14396,625492000021	248	0,02674000000115484	248	-11786,201639000006	248	-11786,21452400001	248	-0,012885000003734604
250	14396,662928000005	250	14396,625492000021	250	-0,037435999984154478	250	-11786,209370000011	250	-11786,21452400001	250	-0,0051539999985834584
252	14396,662928000005	252	14396,625492000021	252	-0,037435999984154478	252	-11786,21452400001	252	-11786,21452400001	252	0
254	14396,636188000004	254	14396,625492000021	254	-0,010695999982999638	254	-11786,248025000008	254	-11786,21452400001	254	0,033500999998068437
256	14396,55596800003	256	14396,625492000021	256	0,069523999991361052	256	-11786,255756000013	256	-11786,21452400001	256	0,041232000003219582
258	14396,662928000005	258	14396,625492000021	258	-0,037435999984154478	258	-11786,217101000002	258	-11786,21452400001	258	0,0025769999920157716
260	14396,668276000011	260	14396,625492000021	260	-0,042783999990206212	260	-11786,196485000008	260	-11786,21452400001	260	-0,018039000002318062
262	14396,636188000004	262	14396,625492000021	262	-0,010695999982999638	262	-11786,193908000001	262	-11786,21452400001	262	-0,020616000008885749
264	14396,609448000032	264	14396,625492000021	264	0,016043999989051372	264	-11786,211947000003	264	-11786,21452400001	264	-0,0025770000065676868
266	14396,604100000026	266	14396,625492000021	266	0,021391999995103106	266	-11786,222255	266	-11786,21452400001	266	0,00773099999059923
268	14396,625492000021	268	14396,625492000021	268	0	268	-11786,219678000009	268	-11786,21452400001	268	0,0051539999985834584
270	14396,588056000008	270	14396,625492000021	270	0,037436000013258308	270	-11786,204216000013	270	-11786,21452400001	270	-0,010307999997166917
272	14396,593404000014	272	14396,625492000021	272	0,032088000007206574	272	-11786,209370000011	272	-11786,21452400001	272	-0,0051539999985834584
